id vx vy
299 -0.0453617 -0.0017121
330 0.0106721 -0.00737113
357 0.0124859 -0.0166677
379 0.00768683 0.0589756
380 0.028393 0.0188779
362 -0.0181907 0.0110162
27 -0.0147612 0.00108161
10 0.00358074 0.0128686
55 -0.0597864 -0.00802778
110 0.00650142 0.0750715
59 0.039438 -0.00915701
53 -0.00926802 -0.0327601
317 0.01818 0.000574456
259 0.00795401 0.026276
268 0.0345522 0.0269796
322 0.0373932 0.0154998
392 0.0469305 0.0287459
89 -0.0299364 -0.0261064
171 -0.0109011 -0.00141896
20 0.0701054 0.00968572
337 -0.0703463 0.0146947
31 0.0362803 -0.00718598
288 0.00598204 -0.0335819
400 0.00302986 -0.0170751
98 0.044911 -0.0179277
349 -0.0156215 0.0272027
325 0.00728787 -0.0477876
56 0.0316146 -0.0771514
229 0.079946 0.00724006
8 0.025372 0.0145132
242 0.036872 0.0094347
11 0.0257466 -0.0687262
140 -0.00283662 -0.0124097
117 0.00249583 -0.0250539
272 -0.0193551 -0.0323868
66 0.0121643 -0.0197602
224 -0.0504921 0.0412232
26 -0.0115738 -0.0307886
65 0.0389541 0.0109532
76 -0.00107495 -0.00549542
40 0.0381762 -0.00342415
339 0.00147637 0.00248676
331 0.0226355 0.0400397
81 -0.0282493 0.0410007
123 0.0529647 0.013025
223 0.016401 0.0438342
102 0.0506804 0.021706
74 0.00529839 -0.000833052
186 0.00402534 0.0427478
352 -0.0171556 0.0169916
206 0.00552588 0.0162365
208 -0.0346817 -0.0588145
219 -0.0495171 -0.00867482
85 -0.034593 0.00104738
4 0.0210405 0.0411144
13 0.0636039 0.0130333
308 0.067044 -0.00146818
152 0.0657163 -0.0302087
390 0.0287488 0.0466398
24 -0.012528 -0.0647713
178 -0.067202 0.0219966
174 -0.0341096 -0.00165291
106 -0.0287719 -0.00611029
157 -0.0275392 0.022237
107 0.0102951 -0.0543938
264 -0.00857691 -0.00848476
350 0.0147785 -0.0340583
72 0.0226537 0.0192057
180 0.0176551 -0.0104612
1 0.0635458 -0.00955395
312 0.0178553 -0.0348569
122 0.0234656 -0.019491
375 -0.0271209 0.00841121
217 -0.0249341 0.0176011
136 0.00634577 -0.033497
127 0.0294463 0.0420238
303 -0.0653422 0.0118642
145 -0.0683209 -0.0414475
292 0.0010373 -0.0472522
54 0.0103699 0.00300539
94 -0.0295897 -0.0482558
43 0.0420282 0.0140923
304 0.0282637 0.00240429
298 -0.00220277 0.0225874
211 0.00742916 0.0201519
324 0.00441574 -0.0309258
290 0.00938989 -0.00847945
34 0.0406173 0.0116328
101 0.009144 -0.039622
120 0.00295262 0.0495036
153 -0.028507 -0.0296044
239 -0.0268239 0.0659133
69 -0.000653509 0.0122516
57 -0.033296 -0.0256884
345 -0.0411307 0.0310237
231 0.037697 -0.0293711
372 0.0371666 -0.0106172
44 -0.0119136 -0.0336792
388 -0.00896364 0.0177945
115 0.0213086 -0.0367776
300 0.0229329 -0.0605138
52 0.0652588 0.0312112
164 -0.0378329 -0.0145134
391 -0.0198474 -0.00669224
70 -0.020594 -0.0170088
78 0.0281878 0.000661278
275 -0.0595834 -0.020789
363 -0.0763121 0.0113017
109 -0.00529465 -0.00361176
255 -0.0224268 -0.0148639
241 0.0163587 -0.014103
175 -0.0359621 0.011072
144 -0.017087 0.0174092
48 0.0405285 -0.0415005
155 -0.00760841 -0.00940716
313 0.0185828 -0.0156368
244 -0.0123476 0.00755829
374 -0.0412043 -0.0313374
394 -0.0561875 -0.00880534
169 -0.001168 -0.0475296
181 0.0287203 0.0639974
252 -0.00146051 0.0334217
371 -0.0663376 -0.0425064
151 -0.0178795 -0.0131523
297 -0.0498206 0.034988
161 -0.0352228 -0.0174211
256 -0.0374255 0.00107117
